A/C,OT,RH_OT,RH,UT,RH_UT,UT_OT,N
garlic KR,0.145244216,0.106683805,0.128534704,0.114395887,0.196658098,0.138817481,0.16966581
garlic NR,0.130350195,0.190661479,0.167315175,0.178988327,0.068093385,0.138132296,0.126459144
garlic MR,0.125,0.333333333,0.041666667,0.25,0.083333333,0.166666667,0
garlic HR,0.1,0.6,0,0.1,0,0.2,0
ginger LR,0.184615385,0.153846154,0.169230769,0.292307692,0.107692308,0.061538462,0.030769231
ginger KR,0.148466258,0.127607362,0.137423313,0.10797546,0.176687117,0.115337423,0.186503067
ginger NR,0.127530364,0.174089069,0.157894737,0.165991903,0.101214575,0.178137652,0.0951417
ginger MR,0.142857143,0.071428571,0.047619048,0.238095238,0.047619048,0.404761905,0.047619048
ginger HR,0.2,0,0,0.8,0,0,0
pepper NR,0.133333333,0.226666667,0.1,0.16,0.14,0.166666667,0.073333333
pepper KR,0.145056726,0.133711507,0.147487844,0.140194489,0.141815235,0.136142626,0.155591572
pepper MR,0.166666667,0,0,0,0,0.833333333,0
pepper LR,0.096774194,0.129032258,0.193548387,0.193548387,0.225806452,0.161290323,0
tamarind LR,0.130952381,0.142857143,0.125,0.172619048,0.18452381,0.214285714,0.029761905
tamarind KR,0.161220044,0.069716776,0.174291939,0.11546841,0.1416122,0.069716776,0.267973856
tamarind NR,0.129577465,0.169014085,0.138028169,0.156338028,0.143661972,0.170422535,0.092957746
tamarind MR,0.171052632,0.315789474,0.052631579,0.092105263,0.065789474,0.184210526,0.118421053
tamarind HR,0.25,0.375,0,0.375,0,0,0
aginomoto LR,0.119402985,0.164179104,0.119402985,0.164179104,0.149253731,0.208955224,0.074626866
aginomoto KR,0.156601842,0.131013306,0.150460594,0.138178096,0.131013306,0.113613101,0.179119754
aginomoto NR,0.116766467,0.164670659,0.131736527,0.146706587,0.182634731,0.194610778,0.062874251
aginomoto MR,0.081081081,0.162162162,0.108108108,0.189189189,0.054054054,0.351351351,0.054054054
